player_name,position,player_id,partidos,titularidades,rating_prom,rating_max,minutos_total,minutos_prom,goles,asistencias,xG_total,tiros_arco,tiros_fuera,tiros_totales,pase_pct_prom,pases_precisos_total,pases_totales_total,duelos_ganados,duelos_totales,duelos_pct_prom,recuperaciones,dribbles,centros,intercepciones,entradas_total,entradas_ganadas,amarillas,rojas,g_a_per90_prom,passes_per90_prom,recoveries_per90_prom,duelos_aereos_ganados,duelos_aereos_total,duelos_aereos_pct,faltas_cometidas,faltas_recibidas,grandes_ocasiones_falladas,grandes_ocasiones_creadas,palos,despejes,regates_intentados,regates_ganados,toques_malos,fueras_juego,atajadas,contribuciones_gol,position_group,foto_url,team
Juan Portilla,M,980580,7,2,"6,72","7,0","198,0","33,0",0,0,0,0,1,"3,0","86,24","134,0","149,0","11,0","20,0","78,58","12,0","3,0","0,0","2,0","6,0","4,0",0,0,"0,0","66,08","9,87","2,0","5,0","44,43","4,0","1,0","0,0","0,0","0,0","4,0","3,0","2,0","2,0","0,0","0,0",0,MID,https://api.sofascore.app/api/v1/player/980580/image,Colombia
Rafael Carrascal,M,818936,1,0,"6,7","6,7","17,0","17,0",0,0,0,0,0,"0,0","100,0","4,0","4,0","1,0","1,0","100,0","1,0","0,0","0,0","0,0","0,0","0,0",0,0,"0,0","21,2","5,3","0,0","0,0",,"0,0","1,0","0,0","0,0","0,0","1,0","0,0","0,0","2,0","0,0","0,0",0,MID,https://api.sofascore.app/api/v1/player/818936/image,Colombia
Dayro Moreno,F,31715,2,0,"6,7","6,7","8,0","8,0",0,0,0,0,0,"0,0","100,0","4,0","4,0","0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0",0,0,"0,0","45,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,FWD,https://api.sofascore.app/api/v1/player/31715/image,Colombia
Jaminton Campaz,M,877299,8,2,"6,68","7,4","183,0","36,6",1,0,0,2,0,"2,0","78,46","41,0","52,0","6,0","24,0","27,5","9,0","4,0","6,0","3,0","0,0","0,0",0,0,"0,67","19,48","3,94","1,0","2,0","50,0","4,0","2,0","0,0","0,0","0,0","3,0","6,0","3,0","3,0","0,0","0,0",1,MID,https://api.sofascore.app/api/v1/player/877299/image,Colombia
Richard Ríos,M,1015292,10,8,"6,68","7,2","605,0","67,22",0,1,0,2,1,"3,0","83,79","221,0","265,0","38,0","87,0","40,78","33,0","48,0","6,0","6,0","14,0","9,0",0,0,"0,11","31,89","4,46","4,0","8,0","50,0","13,0","15,0","1,0","1,0","1,0","8,0","15,0","5,0","16,0","0,0","0,0",1,MID,https://api.sofascore.app/api/v1/player/1015292/image,Colombia
Andrés Gómez,M,1160386,5,1,"6,67","7,1","109,0","36,33",0,0,0,0,2,"4,0","86,1","29,0","35,0","8,0","19,0","42,93","5,0","23,0","0,0","0,0","3,0","3,0",0,0,"0,0","23,9","4,23","0,0","0,0",,"0,0","2,0","0,0","0,0","0,0","1,0","8,0","3,0","5,0","0,0","0,0",0,MID,https://api.sofascore.app/api/v1/player/1160386/image,Colombia
Johan Mojica,D,344847,9,6,"6,65","7,4","470,0","78,33",0,0,0,1,0,"1,0","89,73","235,0","260,0","15,0","33,0","34,23","21,0","40,0","19,0","4,0","8,0","5,0",0,0,"0,0","43,97","3,93","3,0","9,0","30,0","4,0","2,0","0,0","0,0","0,0","5,0","6,0","2,0","3,0","0,0","0,0",0,DEF,https://api.sofascore.app/api/v1/player/344847/image,Colombia
Álvaro Montero,G,926238,7,3,"6,63","7,2","270,0","90,0",0,0,0,0,0,"0,0","79,77","60,0","74,0","2,0","3,0","75,0","16,0","6,0","0,0","0,0","1,0","0,0",0,0,"0,0","20,0","5,33","0,0","0,0",,"0,0","1,0","0,0","0,0","0,0","3,0","0,0","0,0","0,0","0,0","5,0",0,GK,https://api.sofascore.app/api/v1/player/926238/image,Colombia
Deiver Machado,D,822110,4,1,"6,62","6,9","160,0","40,0",0,0,0,0,1,"1,0","84,92","53,0","62,0","5,0","16,0","35,42","6,0","20,0","2,0","0,0","0,0","0,0",0,0,"0,0","35,9","4,97","1,0","2,0","50,0","2,0","3,0","1,0","1,0","0,0","4,0","3,0","1,0","4,0","0,0","0,0",0,DEF,https://api.sofascore.app/api/v1/player/822110/image,Colombia
Camilo Vargas,G,125787,8,4,"6,58","7,4","344,0","86,0",0,0,0,0,0,"0,0","82,0","77,0","94,0","1,0","1,0","100,0","15,0","13,0","0,0","0,0","0,0","0,0",0,0,"0,0","20,18","3,98","0,0","0,0",,"0,0","1,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0","7,0",0,GK,https://api.sofascore.app/api/v1/player/125787/image,Colombia
